titleId,ordering,title,region,language,types,attributes,isOriginalTitle
tt0022542,1,Di shtime fun Yisroel,US,yi,alternative,YIVO translation,0
tt0024265,4,Geleb un gelakht,US,yi,alternative,modern translation,0
tt0024751,9,Avram Ovenu,US,yi,alternative,YIVO translation,0
tt0026010,3,Der yidishe Kenigen Lir,US,yi,alternative,YIVO translation,0
tt0027911,1,Libe un Laydnshaft,US,yi,alternative,modern translation,0
tt0028902,4,Freylekhe kabtsonim,US,yi,alternative,YIVO translation,0
tt0028957,4,Grine Felder,US,yi,alternative,YIVO translation,0
tt0029013,3,Di heylige Shvue,US,yi,alternative,YIVO translation,0
tt0029042,3,Ikh vil zayn a Mame,US,yi,alternative,YIVO translation,0
tt0029765,3,Vu iz mayn Kind?,US,yi,alternative,YIVO translation,0
tt0030904,5,Tsvaye Shvester,US,yi,alternative,YIVO translation,0
tt0031697,5,Mayn Zundele,US,yi,alternative,modern translation,0
tt0032552,2,Der groyser Eytse-geber,US,yi,alternative,YIVO translation,0
tt0032582,2,Ir tsveyte Mame,US,yi,alternative,YIVO translation,0
tt0032649,1,Der yidisher Nigh,US,yi,alternative,YIVO translation,0
tt0033225,3,Der vilner Shtot Khazn,US,yi,alternative,YIVO translation,0
tt0033225,4,The Vilna Town Cantor,US,yi,alternative,YIVO translation,0
tt0129068,3,Eybike Naronim,US,yi,alternative,modern translation,0
tt0129118,4,"Got, Mentsh, un Tayvl",US,yi,alternative,YIVO translation,0
tt0129247,5,Mayn Yidishe Mame,US,yi,alternative,modern translation,0
tt0130043,4,Am Yisroel Kay,US,yi,alternative,YIVO translation,0
tt0130312,2,Dray Tekhter,US,yi,alternative,YIVO translation,0
